term,z,n_lower,n_upper
foam,1.2059697884073226,41.0,35.0
food,1.2069252055598174,730.0,773.0
movie,1.209631472705236,71.0,65.0
understanding,1.218537118711001,77.0,71.0
qfc,1.2201010664272194,36.0,30.0
steps,1.2258810247873313,158.0,155.0
piano,1.2329686527583334,33.0,27.0
arranged,1.2340947307566799,86.0,80.0
send,1.2381929654731025,32.0,26.0
questions,1.2529419417949441,1005.0,1072.0
lastly,1.2573364378088858,29.0,23.0
changes,1.273618904604669,27.0,21.0
entirely,1.273618904604669,27.0,21.0
similar,1.273618904604669,27.0,21.0
venue,1.273618904604669,27.0,21.0
note,1.2810476663107841,246.0,247.0
sheryl's,1.2862842247694508,49.0,0.0
direction,1.2911273773947456,63.0,56.0
runs,1.291676449102407,58.0,51.0
covered,1.2923036292017396,67.0,60.0
supermarket,1.2939577747908715,70.0,63.0
firm,1.2941396338788727,54.0,47.0
prior,1.297813866188925,184.0,181.0
greenwood,1.2988854389569102,50.0,43.0
couples,1.2998895123345835,77.0,70.0
resident,1.3050323698391415,24.0,18.0
answer,1.3058880842198812,187.0,184.0
sounds,1.3116703478448746,44.0,37.0
gene's,1.3122732651017412,51.0,0.0
nonetheless,1.3178380426270677,23.0,17.0
wheel,1.3178380426270677,23.0,17.0
daisy's,1.3250766761069428,52.0,0.0
happen,1.3252982999726604,40.0,33.0
eats,1.3391338249228522,37.0,30.0
emailed,1.3391338249228522,37.0,30.0
members,1.3445849315209848,36.0,29.0
charm,1.3447692501471025,107.0,100.0
z's,1.3627654580219333,55.0,0.0
tourists,1.3639793261263662,33.0,26.0
flight,1.3645801607504915,261.0,261.0
table,1.3789059565329551,250.0,249.0
careful,1.37992169464621,31.0,24.0
friend,1.3800008960617207,439.0,451.0
accurately,1.3814097368752378,65.0,57.0
tons,1.3867757268210992,199.0,195.0
safe,1.3880260498935058,779.0,819.0
condition,1.391666929440807,90.0,82.0
kept,1.394444103773282,391.0,399.0
distance,1.3975765046307818,1721.0,1851.0
vehicle,1.3988397159248598,29.0,22.0
harbor,1.3988397159248598,29.0,22.0
idea,1.400419499823159,51.0,43.0
prefer,1.4030181655103529,50.0,42.0
concert,1.409607740226428,28.0,21.0
metro,1.409607740226428,28.0,21.0
apart,1.409607740226428,28.0,21.0
obviously,1.4157518293740499,46.0,38.0
hair,1.4162954277552222,109.0,101.0
utensils,1.4193449380346743,111.0,103.0
bottled,1.423743348541816,44.0,36.0
literally,1.436891773218532,153.0,146.0
flew,1.448359422460708,25.0,18.0
correct,1.448359422460708,25.0,18.0
loving,1.448359422460708,25.0,18.0
luck,1.448359422460708,25.0,18.0
assistance,1.449776625653499,39.0,31.0
terry's,1.4562353159513937,38.0,30.0
benefit,1.4638562118391347,24.0,17.0
accepted,1.4638562118391347,24.0,17.0
entertainment,1.4645449107913815,75.0,66.0
past,1.4672764558245808,90.0,81.0
inquiries,1.477942293875122,61.0,52.0
services,1.4787433747157808,35.0,27.0
darcy's,1.4814871833759278,65.0,0.0
disturbing,1.4874393419820868,34.0,26.0
compared,1.4874393419820868,34.0,26.0
communicating,1.4905929649806697,114.0,105.0
venues,1.5069465422522395,32.0,24.0
mins,1.511600298290995,129.0,120.0
you've,1.5178897868385999,31.0,23.0
microwave,1.522430508544067,136.0,127.0
buses,1.526088588718071,195.0,188.0
ready,1.528673244165529,311.0,310.0
mix,1.53137220595002,45.0,36.0
shalini's,1.5374144704613373,70.0,0.0
size,1.5378367875829622,298.0,296.0
courtyard,1.5430202101027397,43.0,34.0
prime,1.5462726219701746,78.0,68.0
pizza,1.5469780607952182,77.0,67.0
clean,1.5502602050563892,6380.0,7002.0
bags,1.5505818801453188,153.0,144.0
ahead,1.5559421955890493,69.0,59.0
shown,1.558394626575913,115.0,105.0
courteous,1.5630872000076084,65.0,55.0
head,1.5704647550543855,126.0,116.0
belongings,1.571569938402854,27.0,19.0
connections,1.571569938402854,27.0,19.0
tall,1.5781536566710228,59.0,49.0
moving,1.5812679636768037,58.0,48.0
grocery,1.58355721309467,443.0,449.0
looks,1.587265533942516,224.0,217.0
oven,1.5880959846270517,56.0,46.0
brought,1.5901102716584175,141.0,131.0
connected,1.5918312254840254,55.0,45.0
night's,1.5918312254840254,55.0,45.0
spend,1.5956313548937024,306.0,303.0
walking,1.5976282934411585,2219.0,2386.0
neighbor,1.6044678748432906,52.0,42.0
speed,1.605945090909515,25.0,17.0
adjacent,1.6142252649034976,50.0,40.0
stop,1.6159705341290074,443.0,448.0
toys,1.6210617920132195,87.0,76.0
doing,1.6212335406758318,108.0,97.0
bedding,1.6227440044458403,111.0,100.0
stove,1.6366058740180456,73.0,62.0
cute,1.636805053301843,783.0,813.0
larger,1.6384412077335435,72.0,61.0
corner,1.6523389164896265,276.0,270.0
entering,1.6578441573547982,31.0,22.0
cheerful,1.6578441573547982,31.0,22.0
solid,1.6671364365185544,42.0,32.0
served,1.667736830084496,61.0,50.0
communicate,1.6710665828764237,285.0,279.0
behaved,1.6725620078292456,30.0,21.0
showers,1.67571913591281,41.0,31.0
barely,1.67571913591281,41.0,31.0
plates,1.683680131013423,57.0,46.0
giant,1.6884381852977217,29.0,20.0
house,1.6889470133700155,5181.0,5654.0
woman,1.6945555558186527,39.0,29.0
social,1.7055908453001574,28.0,19.0
cheaper,1.7159105683669373,37.0,27.0
campus,1.7256186460359193,72.0,60.0
hadn't,1.7423122612476678,47.0,36.0
action,1.7423122612476678,47.0,36.0
stressful,1.7442826315977573,26.0,17.0
someone's,1.7442826315977573,26.0,17.0
hilly,1.7535995888577154,34.0,24.0
touristy,1.7637265285730048,61.0,49.0
cancelled,1.7661513097048651,25.0,16.0
aside,1.7670953607463051,44.0,33.0
maker,1.7690245231466912,94.0,81.0
timely,1.778064439240063,87.0,74.0
soap,1.7791886943917974,152.0,139.0
mainly,1.7997489779487392,31.0,21.0
climb,1.7997489779487392,31.0,21.0
ann's,1.7997489779487392,31.0,21.0
calen's,1.8004510822499151,96.0,0.0
avoid,1.8012715579968703,54.0,42.0
drag,1.817429077358525,30.0,20.0
attend,1.819063929105936,39.0,28.0
lively,1.8202706483180287,70.0,57.0
